Student_Id,Gender,Age,Department,Residence,Family Income,Attendance_percentage,Semester_GPA,Internal_Assesment_Score,Backlogs,Assignment_Submission_Rate,LMS_login_fequency,Library_visits,Club_participation,Scholarship_Status,Consecutive_Absence_Days,Academic_Warnings,Tution_Fee_Due,Dropout
STU00041,Male,21,AIML,Hosteler,84043,66.4,5.79,38,2,80.7,0,2,0,1,4,1,0,0
STU00042,Male,23,CSE,Day Scholar,23525,62.5,8.87,50,0,65.2,1,2,0,1,0,0,0,0
STU00043,Feamle,21,MC,Hosteler,24777,97.0,7.01,54,0,86.7,2,1,0,0,1,2,0,0
STU00044,Feamle,24,AIML,Hosteler,196863,76.8,6.29,75,0,44.6,0,5,0,1,4,0,1,0
STU00045,Feamle,23,AIML,Hosteler,108853,54.4,3.37,2,1,84.7,0,6,1,0,3,0,0,0
STU00046,Feamle,19,AIML,Day Scholar,182573,70.3,8.83,42,0,100.0,0,7,1,0,8,2,0,0
STU00047,Feamle,18,CSE,Day Scholar,145409,78.8,7.44,44,1,84.3,0,1,0,0,9,0,0,0
STU00048,Male,19,AIML,Day Scholar,85258,65.3,6.33,79,1,61.6,0,5,0,0,6,2,0,0
STU00049,Feamle,19,ECE,Hosteler,140942,59.8,5.66,90,1,73.5,0,3,0,0,11,0,0,0
STU00050,Feamle,18,MC,Hosteler,96185,71.9,9.4,15,0,63.6,0,6,0,0,1,0,1,0
STU00051,Male,18,AIML,Hosteler,43719,59.0,5.4,4,0,84.0,1,4,0,0,5,0,0,1
STU00052,Feamle,20,AIML,Hosteler,132181,84.5,6.45,39,0,80.5,1,2,0,0,1,1,0,0
STU00053,Male,23,ECE,Day Scholar,149420,45.8,7.85,75,0,61.3,1,6,0,0,12,1,0,1
STU00054,Feamle,24,AIML,Day Scholar,86686,76.4,9.18,66,0,100.0,1,4,1,0,2,0,0,0
STU00055,Male,20,CSE,Day Scholar,179506,82.8,6.68,98,1,73.7,1,5,0,0,10,1,0,0
STU00056,Feamle,18,CSE,Day Scholar,40520,73.6,5.9,44,2,88.6,0,6,0,0,2,0,0,0
STU00057,Feamle,21,CSE,Day Scholar,76881,91.4,6.84,2,0,100.0,0,1,0,0,10,0,0,0
STU00058,Male,24,AIML,Hosteler,152582,54.4,8.36,30,0,55.4,1,3,1,0,10,0,1,1
STU00059,Male,21,MC,Day Scholar,48546,64.5,8.69,23,0,100.0,0,7,1,0,14,0,0,0
STU00060,Male,19,MC,Hosteler,33982,70.0,4.94,28,1,67.8,0,5,0,0,7,0,0,0
STU00061,Male,22,AIML,Day Scholar,89451,85.7,7.17,54,2,100.0,0,6,1,1,7,2,0,0
STU00062,Male,19,MC,Hosteler,39636,78.3,4.85,32,1,100.0,0,6,1,1,1,0,0,0
STU00063,Male,19,MC,Hosteler,162029,100.0,8.33,50,1,67.5,1,5,0,0,8,0,0,0
STU00064,Male,22,AIML,Day Scholar,56706,62.9,7.63,79,0,77.8,0,5,0,0,6,0,0,0
STU00065,Male,23,CSE,Day Scholar,137199,54.1,5.62,96,0,42.5,0,8,1,0,12,0,0,0
STU00066,Feamle,18,AIML,Hosteler,119377,100.0,9.3,73,0,73.2,0,7,1,0,9,0,0,0
STU00067,Feamle,21,CSE,Hosteler,82871,53.5,7.5,29,0,60.1,0,4,1,0,13,0,0,0
STU00068,Male,19,CSE,Hosteler,150448,85.2,7.34,97,0,65.2,0,5,0,0,12,0,1,0
STU00069,Feamle,22,MC,Day Scholar,81737,60.3,6.73,60,2,81.3,0,7,0,1,2,0,0,0
STU00070,Feamle,20,MC,Day Scholar,60975,44.0,6.99,59,2,88.5,2,4,0,0,11,0,0,0
STU00071,Feamle,19,CSE,Day Scholar,117364,69.4,6.43,34,0,67.4,0,1,0,1,5,2,0,0
STU00072,Feamle,21,CSE,Hosteler,125687,88.5,5.89,6,2,80.7,1,9,0,0,2,3,0,0
STU00073,Male,18,MC,Day Scholar,179201,56.7,8.84,5,0,70.3,0,2,0,1,4,0,0,0
STU00074,Feamle,19,ECE,Hosteler,57939,83.6,6.26,14,1,89.0,1,3,0,1,9,0,0,0
STU00075,Male,19,CSE,Hosteler,85059,86.4,6.21,95,0,75.3,0,9,1,0,1,0,1,0
STU00076,Feamle,23,CSE,Hosteler,28298,55.9,6.81,65,0,58.1,1,8,0,0,2,0,0,0
STU00077,Feamle,22,CSE,Day Scholar,139002,71.6,9.14,95,1,65.6,0,7,1,0,4,2,0,0
STU00078,Feamle,20,MC,Hosteler,26480,98.7,8.7,91,1,74.6,0,4,0,0,3,0,1,0
STU00079,Male,20,AIML,Hosteler,88393,84.8,6.41,84,0,92.7,2,8,1,0,1,1,1,0
STU00080,Feamle,24,CSE,Day Scholar,24349,71.1,8.84,16,0,100.0,0,6,0,0,6,0,0,0
STU00081,Male,18,CSE,Hosteler,86964,81.2,7.16,18,2,67.2,0,8,0,1,7,0,1,0
STU00082,Feamle,24,CSE,Day Scholar,59491,64.7,5.73,13,0,44.9,0,7,0,1,3,0,1,0
STU00083,Male,21,AIML,Day Scholar,144888,91.7,6.29,48,0,100.0,0,4,1,1,2,0,0,0
STU00084,Feamle,18,AIML,Day Scholar,197850,91.7,9.06,50,0,91.3,0,2,1,0,8,1,1,0
STU00085,Male,19,CSE,Hosteler,108699,76.8,10.0,33,1,85.8,0,6,1,1,1,1,0,0
STU00086,Male,19,CSE,Hosteler,178749,78.5,7.48,83,0,53.5,0,9,0,0,2,1,1,0
STU00087,Feamle,20,ECE,Day Scholar,116440,60.0,6.15,20,0,78.5,0,7,0,0,14,1,0,0
STU00088,Male,21,AIML,Day Scholar,101254,54.7,6.81,47,0,94.1,2,6,0,0,10,0,0,0
STU00089,Feamle,22,ECE,Hosteler,100345,69.4,5.86,66,1,51.7,0,10,0,1,11,1,0,0
STU00090,Feamle,21,CSE,Hosteler,164344,73.7,6.07,57,0,98.3,1,5,0,1,2,1,0,0
STU00091,Feamle,19,CSE,Hosteler,162900,90.9,5.93,77,1,88.3,0,6,0,0,13,0,0,0
STU00092,Feamle,22,CSE,Day Scholar,64431,88.8,6.88,20,0,100.0,0,6,0,0,11,0,0,0
STU00093,Feamle,21,CSE,Day Scholar,158928,77.8,7.18,26,1,95.9,1,1,0,1,9,0,0,0
STU00094,Feamle,21,MC,Hosteler,31223,92.9,6.78,70,1,35.8,0,4,0,0,5,0,0,0
STU00095,Feamle,22,MC,Day Scholar,59413,60.8,6.67,28,0,60.0,0,4,1,0,6,0,1,0
STU00096,Feamle,19,MC,Day Scholar,76822,91.2,8.14,8,0,93.6,0,7,0,0,5,0,1,0
STU00097,Feamle,21,ECE,Day Scholar,55689,63.1,6.66,78,1,55.5,0,5,0,0,14,0,0,0
STU00098,Feamle,22,AIML,Hosteler,32637,93.6,6.75,43,0,64.4,0,5,0,0,9,0,0,0
STU00099,Feamle,23,CSE,Hosteler,197606,74.8,6.74,27,0,76.7,0,2,1,0,7,1,0,0
STU00100,Male,23,AIML,Hosteler,94038,45.0,9.31,37,0,70.0,2,6,0,0,4,1,1,1
STU00101,Male,19,MC,Day Scholar,35266,86.0,6.26,14,0,40.0,1,6,0,0,0,0,0,0
STU00102,Feamle,22,CSE,Day Scholar,68068,87.1,7.89,14,0,88.9,0,8,0,0,9,0,0,0
STU00103,Feamle,23,CSE,Day Scholar,119625,68.2,5.88,29,0,75.5,0,5,0,0,0,0,0,0
STU00104,Feamle,22,ECE,Hosteler,195428,69.4,7.52,31,0,84.9,0,5,0,0,12,0,0,0
STU00105,Feamle,21,AIML,Hosteler,106295,72.6,7.82,39,0,76.0,2,4,0,0,9,0,0,0
STU00106,Feamle,19,ECE,Hosteler,166118,46.1,8.63,75,1,34.5,0,6,0,0,3,0,0,0
STU00107,Feamle,23,MC,Day Scholar,146069,39.5,6.42,83,0,67.0,0,8,1,0,2,0,0,0
STU00108,Feamle,24,AIML,Hosteler,45270,94.5,5.33,90,2,61.6,1,3,0,0,0,0,0,0
STU00109,Feamle,21,MC,Hosteler,139693,62.6,5.82,1,0,80.6,1,2,0,0,14,1,0,0
STU00110,Male,24,ECE,Day Scholar,96342,100.0,8.45,21,1,93.3,1,3,0,0,13,0,0,0
STU00111,Feamle,24,ECE,Hosteler,140324,95.6,10.0,25,0,72.1,1,5,0,0,2,0,1,0
STU00112,Male,18,CSE,Day Scholar,57988,98.5,8.25,39,0,92.6,0,5,0,0,0,0,0,0
STU00113,Feamle,18,AIML,Hosteler,144291,65.2,5.11,7,2,100.0,0,5,1,0,4,1,0,0
STU00114,Feamle,19,AIML,Day Scholar,72179,50.9,8.2,35,1,91.7,2,7,1,1,1,0,0,0
STU00115,Male,23,CSE,Day Scholar,55892,58.7,5.58,25,0,100.0,0,4,0,0,4,0,0,0
STU00116,Feamle,23,AIML,Day Scholar,136441,68.3,6.48,100,1,56.5,1,4,1,0,4,0,0,0
STU00117,Male,23,MC,Day Scholar,180584,39.4,7.28,80,0,100.0,0,7,0,0,7,0,0,0
STU00118,Feamle,22,MC,Day Scholar,126490,67.9,7.53,6,0,70.4,0,2,1,1,0,0,0,0
STU00119,Feamle,21,ECE,Day Scholar,156171,72.0,7.1,0,0,86.3,2,3,1,0,6,1,1,0
STU00120,Male,23,MC,Day Scholar,73487,55.6,6.1,90,1,49.7,1,5,0,0,2,0,0,0
STU00121,Feamle,21,AIML,Day Scholar,115847,59.4,8.59,89,1,100.0,1,7,0,0,3,0,0,0
STU00122,Male,19,CSE,Hosteler,110845,71.7,6.21,31,0,65.6,1,6,1,1,10,1,0,0
STU00123,Feamle,24,ECE,Hosteler,70003,80.3,8.88,77,0,96.9,1,4,0,1,7,2,0,0
STU00124,Male,23,CSE,Hosteler,131292,61.6,4.96,82,1,100.0,1,3,0,0,6,0,0,0
STU00125,Male,19,ECE,Day Scholar,86886,79.4,7.32,8,1,79.2,2,7,1,0,4,2,0,0
STU00126,Feamle,23,ECE,Day Scholar,31739,77.1,5.16,58,1,100.0,2,2,0,1,14,1,1,1
STU00127,Feamle,18,CSE,Day Scholar,106838,75.7,5.75,43,0,55.1,0,3,0,0,6,0,0,0
STU00128,Male,20,MC,Hosteler,124034,65.2,6.23,64,1,97.8,0,1,0,0,11,0,0,0
STU00129,Feamle,19,MC,Day Scholar,32384,55.0,9.28,20,1,83.0,0,6,1,0,11,0,0,0
STU00130,Feamle,23,MC,Hosteler,184166,100.0,8.96,19,1,75.6,1,4,0,1,9,1,0,0
STU00131,Feamle,20,MC,Day Scholar,153192,84.5,8.31,48,0,67.4,1,10,1,0,13,1,1,0
STU00132,Male,19,CSE,Hosteler,152065,90.1,7.05,96,0,51.4,0,5,1,0,11,0,0,0
STU00133,Male,22,AIML,Day Scholar,107295,73.7,7.28,32,1,82.7,0,8,0,0,0,0,0,0
STU00134,Male,23,ECE,Hosteler,38150,72.5,8.9,17,1,71.7,0,7,1,0,14,0,0,0
STU00135,Male,22,CSE,Hosteler,84681,82.4,8.05,40,1,92.6,1,2,0,0,5,0,0,0
STU00136,Male,18,MC,Day Scholar,65388,47.5,7.03,16,0,85.9,2,5,0,0,2,0,0,0
STU00137,Male,23,MC,Day Scholar,134082,58.3,9.23,12,0,86.6,1,3,0,0,7,0,0,0
STU00138,Male,24,CSE,Hosteler,71116,63.0,8.22,42,0,92.5,1,5,1,1,11,3,0,0
STU00139,Male,18,ECE,Day Scholar,121085,68.2,7.36,72,1,59.0,0,5,0,0,3,1,0,0
STU00140,Male,20,CSE,Hosteler,190859,61.8,6.31,64,1,50.2,1,3,0,0,14,1,0,0
STU00141,Feamle,19,CSE,Day Scholar,55673,80.0,6.18,22,1,60.9,0,7,0,0,2,2,0,0
STU00142,Male,21,AIML,Day Scholar,159362,76.2,6.5,39,0,73.9,0,2,1,0,10,2,0,0
STU00143,Feamle,18,CSE,Hosteler,80123,95.9,7.69,33,0,60.9,0,4,0,0,6,0,1,0
STU00144,Feamle,21,AIML,Day Scholar,36627,100.0,8.25,35,1,55.1,0,7,0,0,0,0,0,0
STU00145,Feamle,21,ECE,Hosteler,93474,56.1,4.83,49,0,49.5,0,8,0,0,5,2,0,1
STU00146,Male,19,CSE,Day Scholar,82904,77.2,4.08,77,1,76.7,0,5,1,0,13,0,0,0
STU00147,Male,20,CSE,Day Scholar,123798,77.2,5.57,84,0,74.9,0,4,0,0,14,1,0,0
STU00148,Male,19,MC,Day Scholar,88245,74.8,6.39,84,0,79.6,1,3,0,0,7,0,0,0
STU00149,Male,23,CSE,Hosteler,178701,58.7,8.79,91,0,95.7,1,8,1,0,2,1,0,0
STU00150,Feamle,18,MC,Hosteler,130958,61.2,6.58,95,0,80.0,1,5,0,0,9,0,1,0
STU00151,Male,21,MC,Hosteler,134673,78.6,7.38,29,0,90.6,2,5,0,1,14,0,0,0
STU00152,Male,19,MC,Day Scholar,64186,60.8,7.63,39,0,92.4,1,12,1,0,1,0,1,0
STU00153,Male,19,ECE,Day Scholar,149522,77.4,5.46,11,1,55.5,0,7,0,0,13,3,0,0
STU00154,Male,19,AIML,Day Scholar,66537,71.3,9.19,92,0,100.0,0,2,0,0,3,0,1,0
STU00155,Male,18,MC,Day Scholar,50832,77.1,6.0,0,0,63.1,0,8,0,0,1,0,0,0
STU00156,Feamle,20,CSE,Hosteler,43472,60.7,9.34,89,0,77.8,0,6,0,0,0,0,0,0
STU00157,Male,24,CSE,Hosteler,199922,77.4,6.81,15,0,68.0,0,5,1,0,5,0,0,0
STU00158,Feamle,19,MC,Hosteler,135735,61.8,6.49,81,0,77.5,1,9,0,1,12,0,0,0
STU00159,Male,18,MC,Hosteler,106298,77.4,5.33,96,0,100.0,1,5,1,1,12,0,0,0
STU00160,Feamle,21,CSE,Hosteler,29507,95.1,7.3,49,0,100.0,1,6,0,1,11,1,0,0
STU00161,Male,23,MC,Day Scholar,75696,78.9,10.0,42,0,70.7,1,8,0,0,14,1,0,0
STU00162,Male,24,AIML,Hosteler,76373,79.8,7.62,86,0,51.7,1,3,0,0,5,0,0,0
STU00163,Feamle,22,AIML,Hosteler,35979,87.3,7.41,59,1,100.0,1,6,0,0,9,1,0,0
STU00164,Feamle,24,ECE,Day Scholar,166121,53.9,6.0,4,0,100.0,0,4,0,0,14,1,0,1
STU00165,Feamle,24,MC,Hosteler,79081,100.0,7.89,20,1,34.5,1,4,0,0,0,0,0,0
STU00166,Male,18,ECE,Day Scholar,44997,59.2,7.24,64,1,83.7,2,6,1,0,2,0,0,0
STU00167,Feamle,22,ECE,Hosteler,191902,88.2,6.91,94,1,51.7,3,6,0,0,10,2,1,0
STU00168,Male,19,ECE,Day Scholar,105721,86.2,7.74,81,0,76.1,0,6,0,1,7,1,1,0
STU00169,Male,19,MC,Day Scholar,41746,61.5,4.28,20,0,83.5,0,5,0,0,4,0,0,0
STU00170,Feamle,24,ECE,Hosteler,29603,90.1,6.85,70,0,90.9,0,4,0,0,9,0,0,0
STU00171,Feamle,18,AIML,Day Scholar,96977,82.5,5.2,64,1,45.4,1,9,0,0,13,0,1,0
STU00172,Male,22,ECE,Day Scholar,24570,100.0,7.04,22,0,100.0,0,6,1,0,1,0,0,0
STU00173,Male,19,AIML,Day Scholar,183388,77.9,5.91,90,0,60.0,0,4,0,0,14,0,0,0
STU00174,Feamle,21,AIML,Hosteler,71604,73.4,6.02,59,0,69.4,0,4,1,0,13,1,0,0
STU00175,Feamle,20,MC,Hosteler,38467,67.3,5.0,1,1,83.4,2,7,0,0,6,3,0,0
STU00176,Feamle,20,ECE,Day Scholar,98381,48.8,8.67,33,1,68.9,1,6,0,0,10,1,0,0
STU00177,Male,19,MC,Day Scholar,195710,70.2,5.98,56,0,89.8,2,6,1,0,14,0,0,0
STU00178,Male,22,AIML,Hosteler,139851,70.9,6.06,15,0,87.7,2,5,0,0,1,0,0,0
STU00179,Male,23,CSE,Hosteler,178015,78.9,9.3,73,0,90.6,0,2,1,0,1,0,0,0
STU00180,Male,19,ECE,Hosteler,23340,53.7,7.85,83,0,86.0,0,2,0,0,2,0,0,0
STU00181,Male,23,MC,Hosteler,63532,71.4,3.95,47,0,52.1,1,7,0,0,1,1,0,0
STU00182,Male,23,CSE,Hosteler,64188,83.6,9.08,100,2,89.3,2,8,0,0,12,0,0,0
STU00183,Feamle,22,ECE,Hosteler,35211,85.1,9.47,24,0,100.0,0,3,0,0,2,1,0,0
STU00184,Male,23,ECE,Hosteler,33496,47.1,9.33,67,2,67.4,1,6,0,0,9,0,0,0
STU00185,Male,21,MC,Hosteler,114381,85.6,8.0,31,0,78.9,1,5,0,0,9,1,0,0
STU00186,Male,22,CSE,Day Scholar,192217,71.3,5.35,44,0,99.8,0,8,1,0,11,0,0,0
STU00187,Feamle,19,MC,Hosteler,123704,72.2,6.93,91,0,99.5,1,5,0,0,14,2,1,0
STU00188,Male,24,ECE,Hosteler,49672,39.5,4.83,39,0,65.6,0,3,0,1,2,0,0,1
STU00189,Male,21,ECE,Hosteler,101481,97.4,5.7,12,0,62.6,0,3,0,1,2,0,1,0
STU00190,Feamle,18,AIML,Day Scholar,187099,77.7,5.33,4,0,80.2,1,3,0,0,2,0,0,0
STU00191,Male,20,ECE,Day Scholar,187323,52.0,6.06,16,0,86.3,1,5,1,0,4,0,0,0
STU00192,Male,19,ECE,Day Scholar,170475,80.6,7.25,70,0,95.7,0,3,1,0,2,1,0,0
STU00193,Male,19,CSE,Hosteler,45150,80.2,6.33,9,2,38.2,0,8,0,0,13,1,0,0
STU00194,Male,19,CSE,Day Scholar,95762,93.3,6.27,90,0,75.3,1,4,0,0,1,0,0,0
STU00195,Male,21,AIML,Day Scholar,198012,70.4,6.56,58,1,80.9,0,6,0,0,4,1,1,0
STU00196,Feamle,18,AIML,Hosteler,70476,75.2,9.25,34,0,46.8,0,3,1,0,0,2,0,0
STU00197,Feamle,24,AIML,Day Scholar,122708,65.4,10.0,22,1,84.1,1,5,0,0,2,1,0,0
STU00198,Feamle,22,MC,Day Scholar,54202,84.0,6.32,55,0,65.4,1,4,0,0,8,0,1,0
STU00199,Male,18,MC,Day Scholar,28729,63.2,7.5,15,1,100.0,0,7,0,0,4,1,1,0
STU00200,Male,21,AIML,Day Scholar,43938,61.6,5.74,51,1,73.3,0,4,0,0,9,2,0,0
STU00201,Male,19,MC,Day Scholar,95302,74.0,8.15,26,3,78.0,0,1,1,1,1,2,0,0
STU00202,Feamle,20,ECE,Hosteler,93920,56.6,6.29,14,0,54.7,0,2,1,0,5,0,0,0
STU00203,Male,19,AIML,Day Scholar,45762,99.0,5.93,61,1,100.0,1,7,0,1,5,0,0,0
STU00204,Male,22,AIML,Hosteler,179796,100.0,10.0,5,0,98.8,0,6,0,0,1,0,0,0
STU00205,Feamle,23,MC,Day Scholar,110586,68.2,4.97,23,0,81.0,0,4,1,1,2,2,0,0
STU00206,Male,20,CSE,Hosteler,40653,54.2,3.32,86,0,75.0,0,4,0,0,0,0,0,1
STU00207,Feamle,19,AIML,Day Scholar,164579,80.0,8.1,4,0,97.8,0,2,0,0,7,1,0,0
STU00208,Feamle,24,MC,Hosteler,92914,67.8,6.45,70,0,93.9,0,6,0,0,7,0,0,0
STU00209,Feamle,20,MC,Hosteler,193845,92.6,6.03,85,1,65.0,0,3,1,0,3,1,0,0
STU00210,Male,23,CSE,Hosteler,131291,63.2,10.0,92,0,63.7,0,5,0,0,3,0,0,0
STU00211,Male,18,AIML,Hosteler,55205,83.2,8.1,52,1,62.2,1,5,0,0,11,0,0,0
STU00212,Male,21,CSE,Day Scholar,31571,76.7,6.91,30,0,78.4,2,6,0,0,14,0,0,0
STU00213,Male,19,ECE,Hosteler,188392,64.9,5.94,34,0,72.4,0,5,0,0,11,1,1,0
STU00214,Male,22,CSE,Day Scholar,136042,78.6,7.67,97,0,100.0,0,3,0,0,3,0,1,0
STU00215,Male,18,CSE,Hosteler,68853,88.2,4.4,18,0,100.0,0,2,0,0,2,0,1,0
STU00216,Male,19,MC,Hosteler,181262,76.3,6.23,33,1,77.6,0,4,0,0,1,1,1,0
STU00217,Feamle,18,CSE,Hosteler,138088,76.5,6.94,93,0,92.8,0,5,0,0,0,0,0,0
STU00218,Male,22,ECE,Hosteler,109116,61.9,7.32,82,1,99.8,0,6,0,1,5,1,0,0
STU00219,Feamle,19,MC,Day Scholar,187594,92.2,6.79,81,0,100.0,0,7,0,0,5,0,0,0
STU00220,Male,23,ECE,Day Scholar,64489,90.7,5.96,0,0,95.6,1,8,0,0,6,0,0,0
STU00221,Male,23,CSE,Hosteler,152909,68.8,8.38,40,0,92.5,0,2,1,0,1,1,0,0
STU00222,Male,22,ECE,Day Scholar,73763,73.1,4.52,52,2,32.4,0,0,0,1,5,0,0,0
STU00223,Feamle,20,ECE,Hosteler,102945,96.2,6.58,79,1,100.0,1,3,0,0,5,1,0,0
STU00224,Feamle,22,CSE,Hosteler,76964,58.0,6.22,63,1,82.4,0,6,0,0,7,0,0,0
STU00225,Feamle,20,CSE,Day Scholar,150349,84.1,8.52,39,1,65.9,1,4,0,0,14,0,0,0
STU00226,Feamle,19,MC,Hosteler,76398,66.6,6.31,61,0,64.3,0,4,0,0,4,2,0,0
STU00227,Male,20,MC,Day Scholar,102597,100.0,7.66,54,0,87.6,0,4,0,0,2,0,1,0
STU00228,Feamle,19,AIML,Day Scholar,114522,76.0,7.5,91,0,52.4,2,5,0,0,3,0,0,0
STU00229,Male,19,MC,Day Scholar,73198,93.9,4.25,10,0,59.1,1,2,1,0,3,0,1,0
STU00230,Male,24,CSE,Day Scholar,105741,63.6,6.9,51,0,95.6,0,4,1,0,14,2,0,0
STU00231,Feamle,21,ECE,Hosteler,186215,56.3,4.39,95,0,100.0,0,4,0,0,12,2,0,1
STU00232,Feamle,19,ECE,Hosteler,69427,71.5,7.53,25,0,100.0,0,2,0,0,4,0,0,0
STU00233,Feamle,20,MC,Hosteler,157931,78.9,5.9,73,0,58.0,0,6,1,0,11,0,1,0
STU00234,Feamle,21,MC,Hosteler,65507,67.3,8.78,86,0,65.5,1,3,0,0,3,0,1,0
STU00235,Feamle,21,CSE,Day Scholar,185428,86.4,6.73,47,0,83.6,0,8,0,0,8,1,0,0
STU00236,Feamle,19,ECE,Day Scholar,106501,71.9,5.84,44,0,99.8,0,5,0,1,11,1,1,0
STU00237,Feamle,22,AIML,Day Scholar,82570,43.8,8.8,32,0,88.7,0,7,0,0,11,0,0,0
STU00238,Feamle,22,AIML,Day Scholar,163926,83.3,5.69,63,0,84.2,1,9,0,1,13,1,0,0
STU00239,Male,23,MC,Hosteler,184085,61.8,8.34,77,0,68.3,0,4,1,0,12,0,0,0
STU00240,Feamle,21,AIML,Day Scholar,51654,69.6,7.7,8,0,57.0,1,5,1,0,13,0,0,0
STU00241,Feamle,19,CSE,Day Scholar,146905,98.3,6.45,77,3,50.0,0,2,1,0,5,0,0,0
STU00242,Male,24,AIML,Day Scholar,174126,100.0,5.0,99,0,72.6,2,7,0,0,0,2,0,0
STU00243,Feamle,22,MC,Hosteler,93728,66.4,8.86,1,1,65.9,0,3,0,0,11,0,0,0
